9.35,1.3979400086720377,18
"shobha,d",1.3979400086720377,17
9.36,1.3979400086720377,18
kanaka,1.3979400086720377,17
14.00,1.3979400086720377,18
9.33,1.3979400086720377,18
14.01,1.3979400086720377,18
_1356433702.xl,1.3979400086720377,19
14.02,1.3979400086720377,18
phagostimul,1.3979400086720377,25
14.03,1.0969100130080565,"3,18"
9.32,1.3979400086720377,18
toxic,1.0969100130080565,"20,23"
9.30,1.3979400086720377,18
14.06,1.3979400086720377,18
angular,1.0969100130080565,"7,18"
14.08,1.3979400086720377,18
residu,.5528419686577808,"3,6,7,10,14,18,23"
draw,.7958800173440752,"5,6,23,25"
biosafeti,1.0969100130080565,"11,12"
techniqu,.28399665636520083,"3,4,5,7,10,11,13,14,15,18,20,22,23"
drive,1.3979400086720377,21
15.96,1.3979400086720377,18
9.29,1.3979400086720377,18
9.28,1.3979400086720377,18
markers”,1.3979400086720377,17
9.27,1.3979400086720377,18
15.93,1.3979400086720377,18
in-situ,.9208187539523752,"7,14,15"
68.9,1.3979400086720377,7
9.44,1.3979400086720377,18
9.45,1.0969100130080565,"7,18"
14.12,1.3979400086720377,18
9.46,1.3979400086720377,18
9.47,1.3979400086720377,18
filiform,1.3979400086720377,18
14.16,1.3979400086720377,7
14.13,1.3979400086720377,18
9.42,1.3979400086720377,18
14.17,1.3979400086720377,18
14.18,1.3979400086720377,18
p.32,1.3979400086720377,20
toxin,1.0969100130080565,"9,20"
255mg/sq.cm,1.3979400086720377,18
predat,1.0969100130080565,"18,20"
68.4,1.3979400086720377,18
parbhani,1.3979400086720377,19
broth,1.0969100130080565,"9,20"
shobha.d,1.3979400086720377,17
9.37,1.3979400086720377,18
68.0,1.3979400086720377,18
immedi,1.3979400086720377,18
dactyloid,1.3979400086720377,9
confid,1.0969100130080565,"7,20"
9.10,1.3979400086720377,18
beetl,1.0969100130080565,"18,25"
29.5,1.3979400086720377,18
15.79,1.3979400086720377,18
9.13,1.3979400086720377,18
9.14,1.3979400086720377,18
lipas,1.3979400086720377,20
9.11,1.3979400086720377,18
9.12,1.3979400086720377,18
17.94,1.3979400086720377,18
29.8,1.0969100130080565,"7,18"
venkatesan,1.3979400086720377,20
stereoscop,1.3979400086720377,18
patent,1.0969100130080565,"6,17"
confin,.9208187539523752,"8,19,23"
9.07,1.0969100130080565,"7,18"
15.70,1.3979400086720377,18
9.05,1.3979400086720377,18
9.04,1.0969100130080565,"7,20"
ghat,1.0969100130080565,"7,23"
dragonfli,1.3979400086720377,18
15.75,1.3979400086720377,18
15.89,1.3979400086720377,18
damag,.6989700043360189,"3,8,9,18,20"
15.87,1.3979400086720377,7
9.21,1.3979400086720377,18
nicoten,1.3979400086720377,18
9.23,1.3979400086720377,7
9.25,1.3979400086720377,18
massechetu,1.3979400086720377,21
acharya,1.3979400086720377,22
director,.28399665636520083,"4,5,6,7,13,14,15,17,18,20,21,22,23"
thrips/,1.3979400086720377,18
sep.i,1.3979400086720377,18
soya,1.3979400086720377,20
border,1.0969100130080565,"15,18"
15.81,1.3979400086720377,18
9.16,1.3979400086720377,18
15.86,1.3979400086720377,18
biolist,1.3979400086720377,11
17.00mm,1.3979400086720377,20
perdict,1.3979400086720377,19
9.71,1.0969100130080565,"7,18"
84.61,1.3979400086720377,18
3.454,1.3979400086720377,18
30.99,1.3979400086720377,18
indica,.9208187539523752,"3,9,18"
sylept,1.3979400086720377,18
andra,1.3979400086720377,7
"36,23,668",1.3979400086720377,20
30.93,1.3979400086720377,18
9.77,1.3979400086720377,7
wrap,1.3979400086720377,18
5-8,1.3979400086720377,19
